,time,open,high,low,close,volume
591,2025-10-25 02:20:00,193.46,193.64,193.42,193.6,9219.3
592,2025-10-25 02:25:00,193.6,193.72,193.54,193.64,2793.9
593,2025-10-25 02:30:00,193.64,193.67,193.32,193.34,6543.1
594,2025-10-25 02:35:00,193.34,193.46,193.24,193.4,4581.4
595,2025-10-25 02:40:00,193.4,193.58,193.34,193.35,5647.5
596,2025-10-25 02:45:00,193.35,193.55,193.3,193.54,3753.0
597,2025-10-25 02:50:00,193.54,194.08,193.54,193.96,18137.2
598,2025-10-25 02:55:00,193.96,193.96,193.66,193.73,11920.1
599,2025-10-25 03:00:00,193.73,193.81,193.26,193.48,17175.1
600,2025-10-25 03:05:00,193.48,193.56,193.28,193.31,8189.4
601,2025-10-25 03:10:00,193.31,193.4,193.16,193.38,9997.1
602,2025-10-25 03:15:00,193.38,193.77,193.37,193.73,8243.5
603,2025-10-25 03:20:00,193.73,193.93,193.58,193.63,12966.8
604,2025-10-25 03:25:00,193.63,193.66,193.55,193.56,4644.4
605,2025-10-25 03:30:00,193.56,193.66,193.46,193.58,3813.3
606,2025-10-25 03:35:00,193.58,193.65,193.4,193.47,2176.0
607,2025-10-25 03:40:00,193.47,193.69,193.38,193.63,3402.4
608,2025-10-25 03:45:00,193.63,193.63,193.27,193.61,8542.9
609,2025-10-25 03:50:00,193.61,193.63,193.34,193.36,3075.1
610,2025-10-25 03:55:00,193.36,193.48,193.3,193.37,4980.5
611,2025-10-25 04:00:00,193.37,193.52,193.34,193.47,5578.3
612,2025-10-25 04:05:00,193.47,193.55,193.33,193.55,8071.1
613,2025-10-25 04:10:00,193.55,193.78,193.53,193.72,15661.0
614,2025-10-25 04:15:00,193.72,194.16,193.63,194.04,20111.3
615,2025-10-25 04:20:00,194.04,194.11,193.81,193.95,10509.4
616,2025-10-25 04:25:00,193.95,194.0,193.76,193.77,7427.5
617,2025-10-25 04:30:00,193.77,193.88,193.34,193.55,30309.4
618,2025-10-25 04:35:00,193.55,193.61,193.39,193.53,6037.3
619,2025-10-25 04:40:00,193.53,193.73,193.49,193.52,11269.7
620,2025-10-25 04:45:00,193.52,193.69,193.45,193.63,8493.9
621,2025-10-25 04:50:00,193.63,194.45,193.59,194.25,52763.6
